RecordDate;Duration_sec;Country;Language;physical_contact__1;physical_contact__2;physical_contact__3;physical_contact__4;physical_contact__5;physical_hygiene__1;physical_hygiene__2;physical_hygiene__3;physical_hygiene__4;physical_hygiene__5;policy_support__1;policy_support__2;policy_support__3;policy_support__4;policy_support__5;generosity__1;generosity__2;generosity__3;psych_wellbeing1;psych_wellbeing2;collective_narcis__1;collective_narcis__2;collective_narcis__3;national_identity__1;national_identity__2;Conspiracy_theories__1;Conspiracy_theories__2;Conspiracy_theories__3;Conspiracy_theories__4;open_mindedness__1;open_mindedness__2;open_mindedness__3;open_mindedness__4;open_mindedness__5;open_mindedness__6;morality_as_cooperat_1;morality_as_cooperat_2;morality_as_cooperat_3;morality_as_cooperat_4;morality_as_cooperat_5;morality_as_cooperat_6;morality_as_cooperat_7;trait_optimism_1;trait_optimism_2;social_belonging__1;social_belonging__2;social_belonging__3;social_belonging__4;trait_self.control__1;trait_self.control__2;trait_self.control__3;trait_self.control__4;Self.esteem;Narcissism__1;Narcissism__2;Narcissism__3;Narcissism__4;Narcissism__5;Narcissism__6;Moral_ID__1;Moral_ID__2;Moral_ID__3;Moral_ID__4;Moral_ID__5;Moral_ID__6;Moral_ID__7;Moral_ID__8;Moral_ID__9;Moral_ID__10;risk_perception__1;risk_perception__2;political_ideology;moral_circle;health_cond;CRT1;CRT2;CRT3;sex;sex_other;age;marit_status;children;employ_status;employ_status_other;Ladder;urban;tested_positive;know_tested_positive;AttCheck_nobots;AttCheck2;;;
22-May-2020 15:14:00;568;SINGAPORE;EN-GB;3;0;8;8;8;3;3;0;0;0;10;10;10;10;10;100;0;0;2;1;0;3;0;3;2;0;0;0;0;8;7;7;7;1;1;0;0;0;0;0;0;0;3;3;2;2;2;2;2;3;8;8;2;3;5;10;4;3;6;8;8;3;3;7;7;6;0;0;7;30;30;1;4;6;253;300;7;1;NA;24;2;0;1;NA;10;1;1;1;213;0;NA;NA;NA
22-May-2020 15:18:00;1479;SINGAPORE;EN-GB;9;1;8;9;6;7;8;6;5;4;6;8;6;9;8;10;40;50;6;8;8;8;8;9;7;4;6;4;4;8;8;8;9;6;5;6;6;8;6;7;9;7;9;10;5;7;7;6;6;9;4;1;4;6;7;4;9;6;4;9;8;4;2;7;7;1;7;6;10;10;10;3;10;6;50;300;16;1;NA;62;1;0;1;NA;6;1;1;1;213;0;NA;NA;NA
22-May-2020 15:20:00;809;SINGAPORE;EN-GB;10;0;4;9;10;9;9;10;9;7;6;9;6;7;7;40;30;30;4;4;7;7;6;10;7;2;2;2;2;3;9;9;9;1;1;6;6;7;8;4;3;3;7;7;5;8;8;7;7;8;2;2;7;4;5;4;5;5;2;8;8;5;3;4;4;3;3;3;7;70;80;5;10;8;25;3;6;1;NA;35;2;0;1;NA;5;1;1;1;213;0;NA;NA;NA
22-May-2020 15:22:00;2968;SINGAPORE;EN-GB;10;0;10;10;10;10;10;10;8;0;10;10;7;9;10;90;10;0;9;8;8;2;6;0;3;7;4;5;6;2;9;10;10;0;2;6;8;7;8;6;4;2;9;9;7;8;8;4;6;10;8;7;10;8;10;6;8;2;9;10;10;0;0;1;2;1;0;10;10;10;10;7;9;10;25;300;7;2;NA;48;1;1;3;NA;6;1;1;1;213;0;NA;NA;NA
22-May-2020 15:23:00;830;SINGAPORE;EN-GB;6;6;4;8;10;7;8;5;1;3;5;8;1;8;8;0;100;0;5;8;0;3;0;10;8;0;0;0;0;2;9;9;9;0;0;7;7;8;5;5;2;10;7;7;7;6;7;7;8;8;5;6;6;5;0;2;0;1;1;1;8;0;0;7;5;2;6;6;6;60;70;4;9;8;25;3;7;2;NA;30;3;1;1;NA;3;1;1;1;213;0;NA;NA;NA
22-May-2020 15:25:00;971;SINGAPORE;EN-GB;10;1;10;10;10;7;9;10;6;2;9;10;6;6;10;100;0;0;7;8;2;5;4;7;8;0;0;0;0;10;8;9;8;0;1;9;9;9;9;8;9;9;6;7;7;7;8;8;6;8;7;0;8;0;0;0;5;0;0;8;9;9;1;5;5;5;5;8;8;20;60;5;1;9;50;100;4;2;NA;46;1;0;1;NA;6;1;1;1;213;0;NA;NA;NA
22-May-2020 15:25:00;1287;SINGAPORE;EN-GB;8;0;7;8;10;9;9;9;7;8;9;9;1;9;8;0;100;0;8;7;7;7;7;5;5;1;1;1;1;2;8;8;9;2;2;7;6;5;6;5;5;1;8;8;7;7;8;9;9;8;2;2;6;5;3;1;5;1;1;9;9;3;0;5;3;2;5;5;7;10;20;5;5;8;25;3;7;1;NA;61;3;2;3;NA;5;1;1;1;213;0;NA;NA;NA
22-May-2020 15:26:00;1827;SINGAPORE;EN-GB;9;0;10;10;10;5;5;10;7;10;8;10;1;10;8;100;0;0;5;5;5;7;5;2;2;5;5;1;5;3;10;10;10;0;8;0;0;9;9;5;5;8;6;4;0;1;7;1;9;9;3;0;10;3;7;5;7;8;10;10;9;5;0;8;10;0;0;3;7;30;30;2;16;7;50;3;7;1;NA;53;1;0;2;NA;6;2;1;1;213;0;NA;NA;NA
22-May-2020 15:27:00;1932;SINGAPORE;EN-GB;8;1;7;8;9;7;7;7;6;2;3;6;2;4;4;100;0;0;9;8;7;7;7;10;10;8;3;1;3;9;10;9;10;4;3;10;8;6;8;7;4;3;8;7;5;6;6;8;8;7;3;7;4;7;7;6;7;6;4;8;8;1;3;6;6;7;2;2;8;20;30;5;11;8;50;300;4;1;NA;51;3;2;1;NA;5;1;1;1;213;9;NA;NA;NA
22-May-2020 15:30:00;2456;SINGAPORE;EN-GB;8;1;9;10;10;10;10;10;10;1;8;10;10;10;10;40;50;10;3;2;9;8;9;10;10;3;3;1;2;9;10;10;10;1;1;9;7;9;8;7;3;3;1;7;9;10;9;10;9;10;2;0;9;1;9;1;10;1;0;10;10;10;0;10;10;0;2;10;10;10;30;6;10;8;50;300;4;2;NA;56;3;3;2;NA;6;1;1;1;214;0;NA;NA;NA
22-May-2020 15:30:00;737;SINGAPORE;EN-GB;7;8;9;3;7;10;10;10;8;9;9;8;8;8;9;50;20;30;10;9;9;3;8;9;9;10;3;9;9;7;8;4;9;8;4;10;9;2;8;3;8;8;9;5;10;9;9;8;8;8;8;4;9;9;4;3;9;8;8;8;8;9;8;8;9;7;10;8;10;20;60;9;9;10;50;NA;NA;1;NA;35;3;2;1;NA;1;1;2;2;213;8;NA;NA;NA
22-May-2020 15:30:00;1558;SINGAPORE;EN-GB;9;0;8;10;10;8;8;10;6;6;8;10;4;10;10;80;15;5;7;6;5;5;6;10;7;5;5;3;3;5;7;7;8;2;5;8;7;9;8;6;5;0;8;8;6;6;7;8;7;7;5;2;6;6;7;5;7;5;5;8;8;7;0;7;5;3;5;5;7;20;20;5;4;7;25;3;4;1;NA;45;3;2;1;NA;4;1;1;1;213;0;NA;NA;NA
22-May-2020 15:33:00;799;SINGAPORE;EN-GB;7;1;5;9;9;9;9;7;7;7;8;5;3;9;8;80;15;5;3;3;6;7;7;10;8;7;5;4;5;7;8;8;8;3;5;7;7;7;7;7;4;4;3;5;5;7;7;7;9;8;8;7;5;6;4;7;7;4;6;7;7;6;3;5;5;4;7;6;8;100;80;6;16;7;50;300;4;1;NA;40;1;0;3;NA;8;1;1;1;213;6;NA;NA;NA
22-May-2020 15:37:00;1248;SINGAPORE;EN-GB;7;0;5;10;6;8;8;8;6;0;8;10;7;7;7;90;5;5;8;6;6;6;6;10;10;5;6;6;6;2;7;7;7;0;0;7;7;7;7;5;5;5;8;8;7;7;7;8;7;8;3;2;8;6;6;5;6;5;5;7;7;6;3;6;4;5;5;6;7;50;70;5;3;7;50;300;4;1;NA;35;1;0;1;NA;4;1;1;1;213;0;NA;NA;NA
